"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","470uF","~","Capacitor_SMD:C_Elec_10x10.2","1",""
"C2","220uF","~","Capacitor_SMD:C_Elec_10x10.2","1",""
"C3","100uF","~","Capacitor_SMD:C_Elec_6.3x7.7","1",""
"C4","1uF","~","Capacitor_SMD:CP_Elec_4x5.3","1",""
"C5","10uF","~","Capacitor_SMD:CP_Elec_5x5.3","1",""
"D1","LED","~","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1",""
"D2","SS210","https://www.wontop.com/uploadfiles/56/sort_excel/pdf/ss22.pdf","Diode_SMD:D_SMA_Handsoldering","1",""
"J4","Conn_02x03_Top_Bottom","~","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical","1",""
"K1","SRD-05VDC-SL-C","","SRD-05VDC-SL-C:RELAY_SRD-05VDC-SL-C","1",""
"Q3,Q4","IRFS4127","https://www.infineon.com/dgdl/irfs4127pbf.pdf?fileId=5546d462533600a401535636ee7b2192","Package_TO_SOT_SMD:TO-263-2","2",""
"R1,R2,R3,R4,R15,R16","10K","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","6",""
"R5,R6,R12,R13","100K","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","4",""
"R7,R9,R10,R11,R14","1M","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","5",""
"R8","150","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"RV1,RV2","R_Potentiometer_Trim","~","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","2",""
"U1","NE555D","http://www.ti.com/lit/ds/symlink/ne555.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U2","74HC08D-T","","ADD ON:SOIC127P600X175-14N","1",""
"U3","74HC32D_653","","ADD ON:SOIC127P600X175-14N","1",""
"U5","L7805","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_SMD:TO-263-2","1",""
"U6","LM339","https://www.st.com/resource/en/datasheet/lm139.pdf","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","1",""
